Algorithm,Data Type,Data Ordering,Array size,Standard deviation,Standard error,Mean,Minimum time,Maximum time,Median,Number of iterations,First quartile,Third quartile,Interquartile range,First result,Last result,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29
BUBBLE_SORT_WHILE_NEEDED,SHORT,ASC,100,433.20599282814896,79.09223143946613,3483.9666666666667,3200,37547,3301.0,30,3288.0,3438.0,150.0,37547.0,3278.0,3579,3330,3903,4002,3293,3277,3278,3267,3294,3301,3305,3289,3310,3571,5427,3438,3309,3277,3300,3266,3276,3291,3294,4141,3904,3426,3308,3288,3297,3278
BUBBLE_SORT_WHILE_NEEDED,SHORT,RANDOM,100,4100.45570909164,748.6373626401107,112332.33333333333,107686,137463,111088.0,30,109840.0,113698.0,3858.0,137463.0,115726.0,108776,111026,110635,109840,111088,110598,111931,108502,111054,109700,109558,130623,114494,112466,110185,110904,112682,109005,112611,109326,111142,109158,111376,115321,110721,114651,116923,113698,116250,115726
BUBBLE_SORT_WHILE_NEEDED,SHORT,DESC,100,369.1488724078675,67.39705483179515,31223.9,31106,122239,31127.0,30,31119.0,31156.0,37.0,103986.0,31124.0,31132,31113,31124,31301,31156,31120,31144,31142,31163,31145,31140,31112,31106,31377,31127,31125,31119,31116,31125,31117,31115,31122,31119,33170,31217,31125,31426,31137,31158,31124
BUBBLE_SORT_WHILE_NEEDED,SHORT,ASC,1000,98.55960407568384,17.99443947034338,3850.733333333333,3721,7588,3834.0,30,3771.0,3909.0,138.0,7588.0,3839.0,3833,3846,3820,3966,4100,3771,3796,3773,3788,3745,3745,3909,3782,3924,3765,3876,3752,4035,3736,3894,3741,3912,3747,3968,3776,4056,3834,3906,3887,3839
BUBBLE_SORT_WHILE_NEEDED,SHORT,RANDOM,1000,214920.1005653574,39238.86238030835,2589851.9,2363076,3027573,2538597.0,30,2413809.0,2691253.0,277444.0,2492564.0,3022583.0,2828371,2691253,2679055,3027573,2636367,2867757,2616187,2566677,2439618,2407754,2879851,2951751,2690100,2383303,2387345,2538597,2430327,2605697,2378587,2413809,2406097,2458348,2457805,2365967,2419063,2368668,2416210,2416441,2944396,3022583
BUBBLE_SORT_WHILE_NEEDED,SHORT,DESC,1000,100312.17252227613,18314.413227600176,2950100.1666666665,2791625,3685835,2934137.0,30,2859626.0,3004068.0,144442.0,2827445.0,3004709.0,2856537,3044519,2860403,2861682,2861466,2859626,2962110,3207214,3111324,2964048,2860613,2948487,3161982,3119350,2858758,2858208,2859004,2859376,2886781,2890201,2933491,2857460,2857265,2934137,2993473,2992646,2993358,3040709,3004068,3004709
BUBBLE_SORT_WHILE_NEEDED,STRING,ASC,100,12.616083209758708,2.3033711204490084,930.6333333333333,908,13830,930.0,30,920.0,941.0,21.0,13830.0,924.0,918,918,913,944,945,932,928,936,930,920,918,917,908,945,911,956,933,929,941,941,946,935,923,954,923,943,940,925,923,924
BUBBLE_SORT_WHILE_NEEDED,STRING,RANDOM,100,20218.616669050334,3691.397477062944,58353.7,51672,202461,51933.0,30,51879.0,52166.0,287.0,118673.0,116609.0,51768,51933,51893,52170,52045,51793,51849,51904,51882,51672,51879,52093,51888,52542,51694,51937,52166,51746,52114,52030,52031,51931,51733,52429,51899,51930,53464,88230,141357,116609
BUBBLE_SORT_WHILE_NEEDED,STRING,DESC,100,17400.506061095526,3176.8832272224618,50784.46666666667,46408,138083,46527.0,30,46488.0,46603.0,115.0,52565.0,46426.0,46524,138083,81797,46879,46603,46548,46543,46488,46538,46527,46408,46502,46499,46965,46458,46570,46435,46501,46562,46519,46433,46604,46576,47003,46488,46442,46632,46458,46523,46426
BUBBLE_SORT_WHILE_NEEDED,STRING,ASC,1000,123.30778564226996,22.512818570760967,12577.7,12331,24647,12566.0,30,12502.0,12609.0,107.0,24647.0,12562.0,12598,12482,12625,12646,13147,12609,12597,12574,12501,12535,12512,12459,12610,12502,12527,12494,12452,12584,12566,12534,12547,12512,12609,12572,12478,12621,12724,12660,12492,12562
BUBBLE_SORT_WHILE_NEEDED,STRING,RANDOM,1000,418778.32664021535,76458.1120317042,7197470.433333334,6570728,8493633,7075712.0,30,6970172.0,7331482.0,361310.0,6917661.0,6991538.0,6570728,6648278,8493633,7849491,8097583,7111430,7014788,7391489,6641727,6841912,6911425,7153941,7925295,7478452,7051777,7069788,7029009,7075712,7424835,6953449,7226605,7133515,6983459,6970172,7261510,7331482,6964389,7041124,7285577,6991538
BUBBLE_SORT_WHILE_NEEDED,STRING,DESC,1000,2229715.6570097394,407088.52072222874,5905624.6,4701260,17243040,5169564.0,30,5024457.0,5961619.0,937162.0,4992037.0,5000014.0,6273096,6564417,6847563,6135261,5731181,5649558,6139494,5168034,5024457,4989934,4971761,8366328,5458606,17243040,5251417,5024105,5083814,5053932,5265866,5138744,5022583,5105327,4966372,5063654,5168439,5961619,5318571,5011987,5169564,5000014
