Algorithm,Data Type,Data Ordering,Array size,Standard deviation,Standard error,Mean,Minimum time,Maximum time,Median,N last iterations,First quartile,Third quartile,Interquartile range,First result,Last result,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29
BUBBLE_SORT_UNTIL_NO_CHANGE,FLOAT,ASC,100,84.42530557967926,15.413881430085699,2716.633333333333,2625,21625,2708.0,30,2667.0,2709.0,42.0,21625.0,2666.0,2708,2666,2667,2709,2708,2667,3000,2708,2667,2709,2708,2708,2667,2667,2708,2666,2666,2917,2667,2666,2708,2709,2708,2666,2667,2709,2750,2959,2708,2666
BUBBLE_SORT_UNTIL_NO_CHANGE,FLOAT,RANDOM,100,42.6590618222618,7.788443480686741,20656.933333333334,20542,324750,20666.0,30,20625.0,20667.0,42.0,324750.0,20708.0,20625,20667,20625,20667,20709,20667,20583,20666,20666,20666,20625,20708,20625,20583,20709,20625,20625,20750,20667,20667,20625,20667,20709,20583,20666,20666,20708,20667,20584,20708
BUBBLE_SORT_UNTIL_NO_CHANGE,FLOAT,DESC,100,46.65953516937584,8.518826644990927,27994.566666666666,27875,34292,28000.0,30,27958.0,28000.0,42.0,34292.0,27958.0,28042,27959,28000,27959,27958,27959,28042,28000,27917,28000,27958,28084,27958,28000,27958,27958,28042,28084,28042,28125,28000,27958,28000,27958,27959,28000,27959,28000,28000,27958
BUBBLE_SORT_UNTIL_NO_CHANGE,FLOAT,ASC,1000,31.12806879115161,5.683181816162101,1861.1,1791,6084,1875.0,30,1833.0,1875.0,42.0,6084.0,1833.0,1834,1875,1959,1833,1833,1875,1833,1875,1916,1875,1875,1917,1875,1833,1834,1875,1875,1833,1875,1833,1875,1833,1875,1833,1875,1833,1834,1875,1834,1833
BUBBLE_SORT_UNTIL_NO_CHANGE,FLOAT,RANDOM,1000,1570.8165463293994,286.7905520423236,2126815.3333333335,2121333,2193833,2127083.0,30,2125417.0,2127708.0,2291.0,2134875.0,2127208.0,2128375,2127375,2126709,2126625,2125209,2127167,2126958,2127583,2124667,2126959,2128375,2130167,2127709,2124292,2124083,2124583,2125209,2125417,2127708,2130166,2126083,2129084,2127542,2126208,2127958,2127083,2127333,2125834,2124791,2127208
BUBBLE_SORT_UNTIL_NO_CHANGE,FLOAT,DESC,1000,1030.62751111479,188.16597874099224,2608961.0,2608125,2749791,2608292.0,30,2608250.0,2609708.0,1458.0,2616375.0,2608250.0,2609666,2608250,2608167,2608208,2609708,2608292,2608292,2609708,2608583,2611375,2608250,2609667,2608208,2608208,2608292,2609584,2608208,2610416,2612166,2609833,2608250,2608291,2608333,2609709,2608250,2608459,2608208,2609791,2608208,2608250
BUBBLE_SORT_UNTIL_NO_CHANGE,FLOAT,ASC,10000,741.4988581694962,135.37855032791896,19756.9,16583,225459,19792.0,30,19125.0,20333.0,1208.0,20917.0,20167.0,20375,20333,19375,20458,19500,20416,19583,18958,20583,19292,20417,18833,20417,19167,20208,18833,22167,19125,20083,19042,19750,18792,19834,18833,18833,19875,20208,19792,19458,20167
BUBBLE_SORT_UNTIL_NO_CHANGE,FLOAT,RANDOM,10000,769150.5134420997,140427.02877630616,2.5278162643333334E8,250395959,263767500,2.52482791E8,30,2.52267334E8,2.52912E8,644666.0,2.56830209E8,2.52167125E8,254247584,253866958,252086958,253992334,252344208,252355084,251882334,252395125,252279084,252425000,252912000,251798541,252293625,253801500,252102416,251950250,254573625,254240666,252880709,252403542,252178000,252709750,253640250,252859500,252267334,252804000,252817459,252691041,252482791,252167125
BUBBLE_SORT_UNTIL_NO_CHANGE,FLOAT,DESC,10000,81056.48131752876,14798.821083202189,2.6515804723333332E8,259975041,266280000,2.65127417E8,30,2.65109583E8,2.65241875E8,132292.0,2.6025775E8,2.65128041E8,265129833,265112584,265261958,265114167,265104334,265339375,265155125,265050000,265114417,265269000,265138625,265127417,265120292,265259500,265116708,265112042,265087792,265241875,265132750,265095625,265138458,265286375,265106000,265105959,265308333,265123625,265109583,265040583,265311041,265128041
BUBBLE_SORT_UNTIL_NO_CHANGE,SHORT,ASC,100,17.693564429538284,3.230388120243048,657.0666666666667,584,13708,667.0,30,666.0,667.0,1.0,13708.0,667.0,667,667,667,667,625,625,667,667,667,667,625,625,667,625,666,666,666,666,625,667,667,667,667,667,625,667,667,667,667,667
